rank,code,city,passengers,lat,lon
1,ATL,"ATLANTA GA, US (ATL)",92365860,33.636719,-84.428067
2,PEK,"BEIJING, CN (PEK)",77403668,40.080111,116.584556
3,LHR,"LONDON, GB (LHR)",69433565,51.4775,-0.461389
4,ORD,"CHICAGO IL, US (ORD)",66561023,41.978603,-87.904842
5,HND,"TOKYO, JP (HND)",62263025,35.552258,139.779694
6,LAX,"LOS ANGELES CA, US (LAX)",61848449,33.942536,-118.408075
7,CDG,"PARIS, FR (CDG)",60970551,49.012779,2.55
8,DFW,"DALLAS/FORT WORTH TX, US (DFW)",57806152,32.896828,-97.037997
9,FRA,"FRANKFURT, DE (FRA)",56436255,50.026421,8.543125
10,HKG,"HONG KONG, HK (HKG)",53314213,22.308919,113.914603
11,DEN,"DENVER CO, US (DEN)",52699298,39.861656,-104.673178
12,DXB,"DUBAI, AE (DXB)",50977960,25.252778,55.364444
13,CGK,"JAKARTA, ID (CGK)",50446618,-6.125567,106.655897
14,AMS,"AMSTERDAM, NL (AMS)",49754910,52.308613,4.763889
15,MAD,"MADRID, ES (MAD)",49644302,40.493556,-3.566764
16,BKK,"BANGKOK, TH (BKK)",47910744,13.681108,100.747283

17,JFK,"NEW YORK NY, US (JFK)",47854283,40.639751,-73.778925
18,SIN,"SINGAPORE, SG (SIN)",46543845,1.350189,103.994433
19,CAN,"GUANGZHOU, CN (CAN)",45400156,23.392436,113.298786
20,LAS,"LAS VEGAS NV, US (LAS)",41479572,36.080056,-115.15225
21,PVG,"SHANGHAI, CN (PVG)",41450211,31.143378,121.805214
22,SFO,"SAN FRANCISCO CA, US (SFO)",40907389,37.618972,-122.374889
23,PHX,"PHOENIX AZ, US (PHX)",40565677,33.434278,-112.011583
24,IAH,"HOUSTON TX, US (IAH)",40170844,29.984433,-95.341442
25,CLT,"CHARLOTTE NC, US (CLT)",39043708,35.214,-80.943139
26,MIA,"MIAMI FL, US (MIA)",38314389,25.79325,-80.290556
27,MUC,"MUNICH, DE (MUC)",37763701,48.353783,11.786086
28,KUL,"KUALA LUMPUR, MY (KUL)",37670586,2.745578,101.709917
29,FCO,"ROME, IT (FCO)",37651222,41.804475,12.250797
30,IST,"ISTANBUL, TR (IST)",37398221,40.976922,28.814606
31,SYD,"SYDNEY, AU (SYD)",36022614,-33.946111,151.177222
32,MCO,"ORLANDO FL, US (MCO)",35356991,28.429394,-81.308994
33,ICN,"INCHEON, KR (ICN)",35191825,37.469075,126.450517
34,DEL,"NEW DELHI, IN (DEL)",34729467,28.5665,77.103088
35,BCN,"BARCELONA, ES (BCN)",34387597,41.297078,2.078464
36,LGW,"LONDON, GB (LGW)",33668048,51.148056,-0.190278
37,EWR,"NEWARK NJ, US (EWR)",33577154,40.6925,-74.168667
38,YYZ,"TORONTO ON, CA (YYZ)",33434199,43.677223,-79.630556
39,SHA,"SHANGHAI, CN (SHA)",33112442,31.197875,121.336319
40,MSP,"MINNEAPOLIS MN, US (MSP)",33074443,44.881956,-93.221767
41,SEA,"SEATTLE WA, US (SEA)",32820060,47.449,-122.309306
42,DTW,"DETROIT MI, US (DTW)",32419181,42.212444,-83.353389
43,PHL,"PHILADELPHIA PA, US (PHL)",30839130,39.871944,-75.241139
44,BOM,"MUMBAI, IN (BOM)",30439122,19.088686,72.867919
45,GRU,"SÃO PAULO, BR (GRU)",30371131,-23.432075,-46.469511
46,MNL,"MANILA, PH (MNL)",29551394,14.508647,121.019581
47,CTU,"CHENGDU, CN (CTU)",29073990,30.578528,103.947086
48,BOS,"BOSTON MA, US (BOS)",28866313,42.364347,-71.005181
49,SZX,"SHENZHEN, CN (SZX)",28245745,22.639258,113.810664
50,MEL,"MELBOURNE, AU (MEL)",28060111,-37.673333,144.843333
51,NRT,"TOKYO, JP (NRT)",28055772,35.764722,140.386389
52,ORY,"PARIS, FR (ORY)",27139076,48.725278,2.359444
53,MEX,"MEXICO CITY, MX (MEX)",26368861,19.436303,-99.072097
54,DME,"MOSCOW, RU (DME)",25701610,55.408611,37.906111
55,AYT,"ANTALYA, TR (AYT)",25183142,36.898731,30.800461
56,TPE,"TAIPEI, TW (TPE)",24947551,25.077731,121.232822
57,ZRH,"ZURICH, CH (ZRH)",24283941,47.464722,8.549167
58,LGA,"NEW YORK NY, US (LGA)",24028400,40.777245,-73.872608
59,FLL,"FORT LAUDERDALE, FL, US (FLL)",23348804,26.072583,-80.15275
60,IAD,"WASHINGTON, DC, US (IAD)",23056291,38.944533,-77.455811
61,PMI,"PALMA DE MALLORCA, ES (PMI)",22723837,39.55361,2.727778
62,CPH,"COPENHAGEN, DK (CPH)",22673477,55.617917,12.655972
63,SVO,"MOSCOW, RU (SVO)",22555309,55.972642,37.414589
64,BWI,"BALTIMORE MD, US (BWI)",22395638,39.175361,-76.668333
65,KMG,"KUNMING, CN (KMG)",22272776,24.992364,102.743536
66,VIE,"VIENNA, AT (VIE)",21106330,48.110278,16.569722
