model,price,range,speed,pax,burn
737-800,98,2935,0.79,160,2530
747-800,387,7730,0.86,467,9600
767-300ER,186,5980,0.80,261,4940
777-200ER,262,7065,0.84,313,6630
777-200LR,296,8555,0.84,317,6800
777-300ER,320,7330,0.84,396,7500
787-8,225,7355,0.85,242,4900
787-9,265,7635,0.85,290,5600
A319,91,3750,0.78,124,2374
A320,99,3300,0.78,150,2430
A321,116,3200,0.78,185,2885
A330-200,234,7250,0.82,300,5590
A330-300,259,6350,0.82,300,5700
A340-300,238,7300,0.82,277,6500
A350-900,311,8100,0.85,315,5800
A380-800,437,8000,0.85,544,11500
CS300,86,3300,0.78,130,1950 
CS100,77,3100,0.78,108,1600
E170,39,2150,0.75,66,1530 
E190,46,2450,0.78,96,1970
E195,47,2300,0.78,100,1950 
